OBJECTID,Suburbs and Localities 2021 code,Suburbs and Localities 2021 name,Area in square kilometres,Uniform Resource Identifier,Usual Resident Population,IRSAD Score,IRSAD Rank within Australia,IRSAD Rank within Australia - Decile,IRSAD Rank within Australia - Percentile,IRSAD Rank within State or Territory,IRSAD Rank within State or Territory - Decile,IRSAD Rank within State or Territory - Percentile,IRSAD Minimum Score,IRSAD Maximum Score,IRSAD Per Cent of Usual Resident Population Without a Score,IRSD Score,IRSD Rank within Australia,IRSD Rank within Australia - Decile,IRSD Rank within Australia - Percentile,IRSD Rank within State or Territory,IRSD Rank within State or Territory - Decile,IRSD Rank within State or Territory - Percentile,IRSD Minimum Score,IRSD Maximum Score,IRSD Per Cent of Usual Resident Population Without a Score,IEO Score,IEO Rank within Australia,IEO Rank within Australia - Decile,IEO Rank within Australia - Percentile,IEO Rank within State or Territory,IEO Rank within State or Territory - Decile,IEO Rank within State or Territory - Percentile,IEO Minimum Score,IEO Maximum Score,IEO Per Cent of Usual Resident Population Without a Score,IER Score,IER Rank within Australia,IER Rank within Australia - Decile,IER Rank within Australia - Percentile,IER Rank within State or Territory,IER Rank within State or Territory - Decile,IER Rank within State or Territory - Percentile,IER Minimum Score,IER Maximum Score,IER Per Cent of Usual Resident Population Without a Score,Suburbs and Localities (SAL) Aggregation Quality Flag,globalid,Shape__Area,Shape__Length
432,10432,Bocobra,101.1002,https://linked.data.gov.au/dataset/asgsed3/SAL/10432,60,991.4483842,7602,6,53,1978,5,46,991.4483842,991.4483842,0,1015.323413,7255,6,51,2030,5,48,1015.323413,1015.323413,0,971.0175504,6649,5,46,1665,4,39,971.0175504,971.0175504,0,1026.283714,7300,6,51,1942,5,46,1026.283714,1026.283714,0,1,324b4480-e2c9-43fd-8383-bec3d1d0646e,0.009765643,0.534250298
433,10433,Bodalla,253.746,https://linked.data.gov.au/dataset/asgsed3/SAL/10433,808,946.3821141,4046,3,28,1045,3,25,873.5940309,1004.165039,0,978.304223,4310,3,30,1181,3,28,904.6987259,1028.702084,0,929.308348,3682,3,26,932,3,22,842.8587282,1060.418558,0,992.6547261,4567,4,32,1211,3,29,915.3880361,1042.4362,0,,d49c5c12-8152-4da3-9474-77660b27e4c0,0.025392807,1.153388852
434,10434,Bodangora,155.5703,https://linked.data.gov.au/dataset/asgsed3/SAL/10434,74,1048.007994,11932,9,83,3295,8,77,1048.007994,1048.007994,0,1065.183404,11860,9,83,3353,8,78,1065.183404,1065.183404,0,1066.677506,12647,9,88,3648,9,85,1066.677506,1066.677506,0,1067.482531,10923,8,76,2943,7,69,1067.482531,1067.482531,0,1,83823c8f-380c-4580-b9ea-f213afbfde99,0.014918247,0.748579824
435,10435,Boeill Creek,21.7809,https://linked.data.gov.au/dataset/asgsed3/SAL/10435,89,1000.436419,8384,6,58,2202,6,52,1000.436419,1000.436419,0,1040.58608,9569,7,67,2675,7,63,1040.58608,1040.58608,0,1003.503765,9033,7,63,2388,6,56,1003.503765,1003.503765,0,1026.096808,7274,6,51,1939,5,45,1026.096808,1026.096808,0,1,e7b59528-f564-44d6-9a54-3e363a82d32d,0.002129272,0.244221554
436,10436,Bogan,476.5131,https://linked.data.gov.au/dataset/asgsed3/SAL/10436,44,1032.721463,10911,8,76,3007,7,70,1032.721463,1032.721463,0,1048.252366,10224,8,71,2873,7,67,1048.252366,1048.252366,0,1053.60917,12107,9,84,3460,9,81,1053.60917,1053.60917,0,1077.13369,11743,9,82,3208,8,75,1077.13369,1077.13369,0,1,bc1dc990-6f8b-4997-b296-b42951fe052d,0.04549006,1.12630871
437,10437,Bogan Gate,445.6347,https://linked.data.gov.au/dataset/asgsed3/SAL/10437,269,928.2478273,2949,3,21,742,2,18,928.2478273,928.2478273,0,926.4088704,1902,2,14,482,2,12,926.4088704,926.4088704,0,996.4656422,8514,6,59,2207,6,52,996.4656422,996.4656422,0,979.1560017,3658,3,26,955,3,23,979.1560017,979.1560017,0,,25edf080-9ca8-4542-a0dc-4dbc0dbdbb39,0.043042424,1.152040074
438,10438,Bogangar,6.7404,https://linked.data.gov.au/dataset/asgsed3/SAL/10438,3313,996.3503977,8052,6,56,2122,5,50,973.8108565,1019.562727,0,1015.381751,7268,6,51,2039,5,48,983.7242078,1042.305398,0,993.6003694,8297,6,58,2150,5,50,970.9892556,1040.991156,0,1005.122674,5474,4,38,1469,4,35,968.8736818,1043.817143,0,,0488e7b5-e85a-476e-bb84-dedb98ca294b,0.000620241,0.129243704
439,10439,Bogee,109.837,https://linked.data.gov.au/dataset/asgsed3/SAL/10439,82,953.3963144,4521,4,32,1177,3,28,953.3963144,953.3963144,0,967.2050813,3628,3,26,1008,3,24,967.2050813,967.2050813,0,974.5220057,6923,5,48,1743,5,41,974.5220057,974.5220057,0,974.6115735,3377,3,24,871,3,21,974.6115735,974.6115735,0,1,601cf389-e9f3-43b9-a9be-fd62fca6e2fc,0.010596885,0.734771498
440,10440,Boggabilla,1340.8662,https://linked.data.gov.au/dataset/asgsed3/SAL/10440,1022,818.1767067,368,1,3,50,1,2,594.3329564,1111.528055,0,757.3675917,250,1,2,27,1,1,419.3395774,1129.622168,0,856.9073118,717,1,5,150,1,4,786.9908879,1097.778561,0,819.6892592,298,1,3,31,1,1,610.3703504,1099.671428,0,,bb32aa8b-43ad-4fa3-ab61-b434714d5143,0.123810317,2.091808337
441,10441,Boggabri,858.4853,https://linked.data.gov.au/dataset/asgsed3/SAL/10441,1203,881.0191088,1217,1,9,256,1,6,836.1922544,1055.474126,0,911.9108565,1498,2,11,359,1,9,873.0840009,1086.060625,0,836.868064,421,1,3,75,1,2,786.6913205,1048.435083,0,960.3651488,2672,2,19,662,2,16,928.6715973,1103.709557,0,,eccf8c67-39f9-44d2-8bec-a3a2a26bb6a1,0.080822347,2.479171868
442,10442,Bogong Peaks Wilderness,255.8968,https://linked.data.gov.au/dataset/asgsed3/SAL/10442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239c42d5-8a28-491f-826f-43ba8edef1b7,0.025428076,0.966734895
443,10443,Bohena Creek,197.2885,https://linked.data.gov.au/dataset/asgsed3/SAL/10443,214,975.9673795,6305,5,44,1682,4,40,975.9673795,975.9673795,0,1010.832614,6886,5,48,1921,5,45,1010.832614,1010.832614,0,947.0441209,4930,4,35,1236,3,29,947.0441209,947.0441209,0,1036.832075,8314,6,58,2260,6,53,1036.832075,1036.832075,0,,34127538-137b-4407-b984-42b79de3df1d,0.018520593,0.761840573
444,10444,Bohnock,1.1231,https://linked.data.gov.au/dataset/asgsed3/SAL/10444,83,935.8272038,3341,3,24,863,3,21,935.8272038,935.8272038,0,978.4625318,4325,3,30,1187,3,28,978.4625318,978.4625318,0,910.5132616,2596,2,18,604,2,14,910.5132616,910.5132616,0,1042.741127,8817,7,61,2401,6,56,1042.741127,1042.741127,0,1,e2d88f90-1286-4e50-a059-4de1de2006e6,0.000107125,0.052467574
445,10445,Bolaro,127.8562,https://linked.data.gov.au/dataset/asgsed3/SAL/10445,31,1050.753439,12094,9,84,3341,8,78,1050.753439,1050.753439,0,1069.864299,12268,9,85,3452,9,81,1069.864299,1069.864299,0,1123.739816,13976,10,97,4092,10,95,1123.739816,1123.739816,0,1057.393091,10089,7,70,2704,7,63,1057.393091,1057.393091,0,1,2ad8c253-6a32-49f8-951d-d0b32cf147b4,0.01276756,0.614679949
446,10446,Bolivia,290.061,https://linked.data.gov.au/dataset/asgsed3/SAL/10446,74,966.2745403,5523,4,39,1440,4,34,966.2745403,966.2745403,0,970.0253215,3793,3,27,1058,3,25,970.0253215,970.0253215,0,1017.419209,10030,7,70,2759,7,64,1017.419209,1017.419209,0,959.9727413,2656,2,19,655,2,16,959.9727413,959.9727413,0,1,70039f5f-c99a-4a0c-838e-707dab6bd2ab,0.026931585,1.176490707
447,10447,Bolong,16.4127,https://linked.data.gov.au/dataset/asgsed3/SAL/10447,94,1056.178873,12361,9,86,3440,8,80,1056.178873,1056.178873,0,1076.972427,12731,9,89,3612,9,84,1076.972427,1076.972427,0,1029.96223,10862,8,75,3022,7,70,1029.96223,1029.96223,0,1091.100976,12736,9,89,3513,9,82,1091.100976,1091.100976,0,1,330119bb-60a7-44f3-b1a0-9da5c9cb1aa5,0.001617497,0.233860653
448,10448,Bolton Point,1.6815,https://linked.data.gov.au/dataset/asgsed3/SAL/10448,2124,886.8806851,1369,1,10,297,1,7,773.2459469,943.8927603,0,891.4613776,1100,1,8,254,1,6,747.7186957,967.0055679,0,907.065553,2415,2,17,551,2,13,826.5376361,966.5433128,0,926.3704511,1407,1,10,312,1,8,830.5687304,985.0839445,0,,94d16371-0529-4a37-8a5b-d5f9084832ba,0.000162244,0.072251708
449,10449,Bolwarra (NSW),4.4691,https://linked.data.gov.au/dataset/asgsed3/SAL/10449,1350,1043.1741,11659,9,81,3221,8,75,1025.499121,1046.30939,0,1065.894397,11909,9,83,3369,8,79,1052.151978,1067.788076,0,1016.988785,10006,7,70,2746,7,64,996.1240317,1050.523822,0,1085.95493,12425,9,86,3415,8,80,1066.649272,1099.888119,0,,d22bbdfd-926e-40cf-82b1-5b7a37194cf9,0.000429815,0.089642195
450,10450,Bolwarra Heights,7.2266,https://linked.data.gov.au/dataset/asgsed3/SAL/10450,3436,1059.723101,12498,9,87,3477,9,81,1002.269246,1098.791279,0,1076.839982,12719,9,88,3610,9,84,1029.793328,1102.322071,0,1025.678081,10579,8,73,2924,7,68,991.5177735,1064.008961,0,1114.6789,13678,10,95,3880,9,90,1049.332508,1159.32945,0,,1eb8af2b-0260-42ea-b3d4-d36cca5a30f8,0.000694868,0.151412272
451,10451,Bom Bom,24.2032,https://linked.data.gov.au/dataset/asgsed3/SAL/10451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3d51511-cdf5-440e-b2e1-b7f903c02a61,0.002257671,0.228644774
452,10452,Bomaderry,7.4527,https://linked.data.gov.au/dataset/asgsed3/SAL/10452,6738,907.6595383,1995,2,14,484,2,12,791.9933187,1056.178873,0,932.5341205,2114,2,15,545,2,13,804.6202589,1076.972427,0,911.6818883,2682,2,19,639,2,15,827.8161597,1040.927331,0,937.4730227,1769,2,13,424,1,10,806.5893807,1115.312359,0,,46d85da9-1fa2-4760-b2eb-83dd687bc99c,0.000734562,0.159732691
453,10453,Bombah Point,54.3511,https://linked.data.gov.au/dataset/asgsed3/SAL/10453,24,985.7399964,7158,5,50,1876,5,44,985.7399964,985.7399964,0,1033.637808,8868,7,62,2463,6,58,1033.637808,1033.637808,0,1008.790387,9408,7,65,2527,6,59,1008.790387,1008.790387,0,1047.992207,9291,7,65,2521,6,59,1047.992207,1047.992207,0,1,bba9d80f-3542-45c8-a39e-235ed1ae34b0,0.005215486,0.451955613
454,10454,Bombala,119.7117,https://linked.data.gov.au/dataset/asgsed3/SAL/10454,1372,916.1508171,2383,2,17,589,2,14,857.6699464,1028.830948,0,952.341512,2863,2,20,794,2,19,883.4960793,1045.942479,0,899.316848,2052,2,15,464,2,11,857.6224562,1031.025925,0,960.1925565,2663,2,19,659,2,16,922.650006,1043.665239,0,,6f46f48e-110f-4499-8bb9-d1fe64d43cd0,0.01210083,0.626130206
455,10455,Bombay,159.653,https://linked.data.gov.au/dataset/asgsed3/SAL/10455,142,1035.907711,11115,8,77,3069,8,72,1035.907711,1035.907711,0,1050.669512,10489,8,73,2949,7,69,1050.669512,1050.669512,0,1051.083811,11957,9,83,3404,8,79,1051.083811,1051.083811,0,1060.51644,10348,8,72,2792,7,65,1060.51644,1060.51644,0,1,de941b25-cf2b-4c72-9984-756f106df8a7,0.015847157,0.68098569
456,10456,Bombira,7.048,https://linked.data.gov.au/dataset/asgsed3/SAL/10456,504,1114.323635,13975,10,97,4044,10,94,1074.059883,1130.310933,0,1113.799227,14244,10,99,4195,10,98,1075.352572,1129.06502,0,1041.76747,11454,8,80,3252,8,76,995.297445,1060.219056,0,1173.620157,14421,10,100,4281,10,100,1133.171794,1189.680757,0,,7755fc8f-949f-47da-8158-68e4c08257bb,0.000676819,0.1336461
457,10457,Bombo,1.7979,https://linked.data.gov.au/dataset/asgsed3/SAL/10457,175,1036.239586,11139,8,78,3083,8,72,978.3237253,1064.250771,0,1026.773873,8278,6,58,2293,6,54,931.752171,1072.731414,0,1017.559525,10042,7,70,2763,7,64,934.7957673,1057.588473,0,1057.943014,10135,8,71,2724,7,64,1005.336734,1083.386205,0,,85da70de-74e9-45ff-97f1-d3b633297839,0.000176801,0.077654613
458,10458,Bombowlee,27.9183,https://linked.data.gov.au/dataset/asgsed3/SAL/10458,291,1002.209208,8554,6,60,2257,6,53,1002.209208,1002.209208,0,1056.987397,11097,8,77,3125,8,73,1056.987397,1056.987397,0,972.5557316,6798,5,47,1709,4,40,972.5557316,972.5557316,0,1077.916407,11801,9,82,3222,8,75,1077.916407,1077.916407,0,,3bf2ffc3-a75d-4972-a160-128cfde2e7aa,0.002765408,0.346335891
459,10459,Bombowlee Creek,21.3675,https://linked.data.gov.au/dataset/asgsed3/SAL/10459,52,962.1795301,5147,4,36,1344,4,32,962.1795301,962.1795301,0,991.2415247,5278,4,37,1444,4,34,991.2415247,991.2415247,0,946.1477319,4856,4,34,1210,3,29,946.1477319,946.1477319,0,1010.997708,5996,5,42,1594,4,38,1010.997708,1010.997708,0,1,e1ff4ef4-4b39-4b86-87c1-aeac6383383b,0.00211681,0.316380079
460,10460,Bomen,27.3692,https://linked.data.gov.au/dataset/asgsed3/SAL/10460,40,1063.845349,12686,9,88,3543,9,83,1063.845349,1063.845349,0,1096.540267,13784,10,96,4002,10,93,1096.540267,1096.540267,0,1055.579435,12201,9,85,3492,9,81,1055.579435,1055.579435,0,987.2508604,4210,3,30,1102,3,26,987.2508604,987.2508604,0,,1ce723c9-cd36-41d8-859c-6fd991f52249,0.002704454,0.241512171
461,10461,Bonalbo,85.8599,https://linked.data.gov.au/dataset/asgsed3/SAL/10461,338,811.1170914,324,1,3,43,1,1,787.253667,921.7741272,0,798.1740102,347,1,3,54,1,2,770.7514715,925.3350073,0,874.1569419,1132,1,8,248,1,6,854.0191677,967.5377729,0,868.4364208,510,1,4,81,1,2,845.9237848,972.8297184,0,,64dc15f4-5897-408d-9fdd-dcc2c7eb5008,0.007929203,0.579061677
462,10462,Bondi,0.8647,https://linked.data.gov.au/dataset/asgsed3/SAL/10462,10411,1150.821798,14306,10,99,4187,10,98,1063.618471,1214.111062,0,1076.168655,12687,9,88,3595,9,84,978.7873691,1136.027347,0,1162.568462,14333,10,99,4217,10,98,1086.174927,1208.966991,0,958.3396555,2559,2,18,620,2,15,872.3702782,1051.678518,0,,10b389bc-5dfe-4296-ba9d-8c1e0b903346,8.43487609927251E-05,0.052157871
463,10463,Bondi Beach,1.2192,https://linked.data.gov.au/dataset/asgsed3/SAL/10463,11513,1165.642028,14369,10,100,4234,10,99,1127.348904,1190.103543,0.00043429,1085.827486,13308,10,93,3812,9,89,1036.000795,1119.31284,0.00043429,1170.491027,14373,10,100,4232,10,98,1143.634785,1205.903507,0.00043429,942.6386506,1960,2,14,475,2,12,856.1811569,1067.022504,0.00043429,,ca4dccb0-5f10-4f0d-942b-a6ec0ec96b33,0.000118813,0.0590954
464,10464,Bondi Forest,161.4657,https://linked.data.gov.au/dataset/asgsed3/SAL/10464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8675633d-9fb4-4ead-9a0d-63874ece926b,0.016377514,0.763493034
465,10465,Bondi Junction,1.0793,https://linked.data.gov.au/dataset/asgsed3/SAL/10465,10361,1142.644165,14255,10,99,4163,10,97,1103.826921,1193.4078,0,1069.271054,12219,9,85,3439,8,80,1038.746484,1117.181587,0,1149.819937,14249,10,99,4187,10,97,1088.275129,1189.734902,0,951.8677607,2280,2,16,558,2,13,875.1270322,1089.186088,0,,0a08ace7-1976-48e3-b187-ba697d640386,0.000105167,0.054385701
466,10466,Bonnells Bay,3.2765,https://linked.data.gov.au/dataset/asgsed3/SAL/10466,4066,961.0465629,5064,4,36,1316,4,31,926.8349605,1010.640754,0,990.6645879,5217,4,37,1429,4,34,967.7189441,1036.856409,0,938.6532958,4335,3,30,1091,3,26,873.733212,990.9654337,0,1011.601266,6061,5,42,1617,4,38,969.4696558,1046.516937,0,,6720af72-8be9-4f4d-a035-d4a47d72091a,0.000316499,0.12389458
467,10467,Bonnet Bay,1.1299,https://linked.data.gov.au/dataset/asgsed3/SAL/10467,2238,1152.449123,14314,10,99,4193,10,98,1117.524801,1178.265401,0,1130.506074,14420,10,100,4287,10,100,1100.425195,1144.679965,0,1116.138673,13880,10,96,4064,10,95,1084.830058,1145.513889,0,1161.862648,14369,10,100,4250,10,99,1081.334004,1190.084255,0,,21ac0a06-8a01-4372-9d8f-de4c7be43f63,0.00011029,0.052269794
468,10468,Bonny Hills,20.7471,https://linked.data.gov.au/dataset/asgsed3/SAL/10468,3045,993.2823591,7783,6,54,2029,5,48,948.1930061,1070.023846,0,1023.454317,7959,6,56,2226,6,52,968.4354575,1073.842718,0,981.5678165,7384,6,51,1889,5,44,890.3817185,1063.510444,0,1037.895366,8413,6,59,2274,6,53,987.8162477,1185.911647,0,,25a5c347-a9f4-4f12-b815-6ddef6f89625,0.001971368,0.289590173
469,10469,Bonnyrigg,3.0422,https://linked.data.gov.au/dataset/asgsed3/SAL/10469,9785,872.558698,1015,1,8,190,1,5,705.3492356,992.9446338,0,803.6814054,366,1,3,57,1,2,578.3742564,931.4566046,0,916.6521201,2956,3,21,705,2,17,809.1828625,1011.39323,0,931.0668609,1516,2,11,354,1,9,737.3091429,1113.902257,0,,c686272b-7870-4c09-bca2-630d742cb22e,0.000296487,0.075944944
470,10470,Bonnyrigg Heights,2.1537,https://linked.data.gov.au/dataset/asgsed3/SAL/10470,7369,940.0311143,3589,3,25,941,3,22,869.5103113,1045.433151,0,894.4479694,1152,1,8,261,1,7,804.4849285,1015.36153,0,951.5229079,5255,4,37,1323,4,31,913.6428404,1050.483657,0,1026.307889,7305,6,51,1947,5,46,940.9203668,1110.030034,0,,20ac1682-dbe5-460c-aba0-5bd63447e220,0.000209876,0.06368829
471,10471,Bonshaw (NSW),431.5055,https://linked.data.gov.au/dataset/asgsed3/SAL/10471,133,979.7582602,6637,5,46,1774,5,42,979.7582602,979.7582602,0,974.568617,4085,3,29,1132,3,27,974.568617,974.568617,0,1033.080625,11060,8,77,3094,8,72,1033.080625,1033.080625,0,991.6705076,4490,4,32,1186,3,28,991.6705076,991.6705076,0,1,9ec8bffc-1f2f-4ff1-806b-3fd6a6bd882a,0.039974527,1.348456234
472,10472,Bonville,68.8865,https://linked.data.gov.au/dataset/asgsed3/SAL/10472,2939,1008.682882,9089,7,63,2388,6,56,969.8062001,1056.899528,0,1035.147282,9014,7,63,2522,6,59,997.481561,1081.828381,0,984.7077233,7609,6,53,1969,5,46,947.0635007,1039.848597,0,1065.068096,10713,8,75,2889,7,67,1024.621139,1094.290912,0,,a8518392-59e6-4c68-bd8c-c397ca6f89bd,0.006464627,0.436032346
473,10473,Booerie Creek,12.7267,https://linked.data.gov.au/dataset/asgsed3/SAL/10473,130,964.5640112,5387,4,38,1400,4,33,964.5640112,964.5640112,0,996.9336055,5771,4,40,1625,4,38,996.9336055,996.9336055,0,951.7878929,5265,4,37,1329,4,31,951.7878929,951.7878929,0,1033.024229,7977,6,56,2159,6,51,1033.024229,1033.024229,0,1,33663caf-c0b1-4fa3-9d2a-51fd6555c39a,0.001175967,0.231896203
474,10474,Book Book,158.8203,https://linked.data.gov.au/dataset/asgsed3/SAL/10474,130,1085.816529,13478,10,94,3843,9,90,1085.816529,1085.816529,0,1109.194892,14138,10,98,4142,10,97,1109.194892,1109.194892,0,1073.413601,12922,9,90,3748,9,87,1073.413601,1073.413601,0,1130.774029,14052,10,98,4086,10,95,1130.774029,1130.774029,0,1,e4cd1b4d-482f-4f4d-b6b1-5b6b3cf190f4,0.015745287,0.723816705
475,10475,Booker Bay,0.4944,https://linked.data.gov.au/dataset/asgsed3/SAL/10475,1442,993.7897227,7824,6,55,2046,5,48,942.6670381,1016.68011,0,1007.805793,6602,5,46,1822,5,43,977.2556555,1022.970335,0,993.4057695,8281,6,58,2146,5,50,924.0424173,1014.115214,0,971.5541851,3238,3,23,823,2,20,946.5403445,987.9480098,0,,6e1a7578-3d5d-43fe-8ec2-afd035299a17,4.79659197480942E-05,0.034070284
476,10476,Bookham,210.2949,https://linked.data.gov.au/dataset/asgsed3/SAL/10476,127,1024.485919,10326,8,72,2821,7,66,1024.485919,1024.485919,0,1049.29907,10319,8,72,2916,7,68,1049.29907,1049.29907,0,1058.074503,12294,9,85,3520,9,82,1058.074503,1058.074503,0,1045.919711,9096,7,63,2459,6,58,1045.919711,1045.919711,0,,1896cdb5-cb4c-4c8e-9ec6-ed9b3bfd7ecf,0.020725812,0.930469537
477,10477,Bookookoorara,10.8554,https://linked.data.gov.au/dataset/asgsed3/SAL/10477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37d999c9-4e96-4c5f-afcc-f79ec87c34eb,0.001003208,0.19075547
478,10478,Bookram,66.0302,https://linked.data.gov.au/dataset/asgsed3/SAL/10478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3ead564-fb7f-464b-8bec-16ca2a952c3e,0.006156673,0.489566356
479,10479,Boolambayte,89.8913,https://linked.data.gov.au/dataset/asgsed3/SAL/10479,85,985.7399964,7157,5,50,1875,5,44,985.7399964,985.7399964,0,1033.637808,8869,7,62,2464,6,58,1033.637808,1033.637808,0,1008.790387,9406,7,65,2525,6,59,1008.790387,1008.790387,0,1047.992207,9292,7,65,2522,6,59,1047.992207,1047.992207,0,1,b3ae5363-a3f0-4ad4-8e62-7e4a68d68e20,0.008615594,0.758624566
480,10480,Boolaroo,2.7094,https://linked.data.gov.au/dataset/asgsed3/SAL/10480,1636,955.9817061,4695,4,33,1220,3,29,919.1127893,1026.61998,0,986.5970488,4908,4,34,1337,4,32,962.8045312,1038.447427,0,932.5138004,3932,3,28,1000,3,24,883.0450762,1001.243774,0,991.2786164,4470,4,31,1176,3,28,948.2161259,1067.07955,0,,f6cb5726-8389-4cd9-b072-48d8cfdcae39,0.000261272,0.072492888
481,10481,Boolcarroll,141.6522,https://linked.data.gov.au/dataset/asgsed3/SAL/10481,25,1058.469433,12429,9,86,3454,9,81,1058.469433,1058.469433,0,1068.997788,12196,9,85,3427,8,80,1068.997788,1068.997788,0,1064.185162,12519,9,87,3609,9,84,1064.185162,1064.185162,0,1032.5758,7917,6,55,2128,5,50,1032.5758,1032.5758,0,1,9339a4f4-667f-4f54-9c79-4dcded73e29b,0.013250223,0.548458182
482,10482,Booligal,4519.3538,https://linked.data.gov.au/dataset/asgsed3/SAL/10482,98,1068.09944,12850,9,89,3595,9,84,1031.796445,1068.09944,0,1089.374277,13461,10,94,3887,10,91,1034.751163,1089.374277,0,1046.346724,11715,9,81,3330,8,78,1040.75304,1046.346724,0,1083.072089,12169,9,85,3338,8,78,1058.088735,1083.072089,0,,ed6eebac-8f45-4d38-8e63-72e68d88edb2,0.439570145,4.009259646
483,10483,Boolijah,109.7122,https://linked.data.gov.au/dataset/asgsed3/SAL/10483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459bca56-3242-44d9-a0d8-93ff8e711acf,0.010840545,0.469156047
484,10484,Boomanoomana,246.4983,https://linked.data.gov.au/dataset/asgsed3/SAL/10484,116,1082.376701,13377,10,93,3808,9,89,1082.376701,1082.376701,0,1106.555216,14069,10,98,4110,10,96,1106.555216,1106.555216,0,1103.396208,13662,10,95,3996,10,93,1103.396208,1103.396208,0,1095.367247,12924,9,90,3578,9,83,1095.367247,1095.367247,0,1,f0b18192-d01b-4bdf-8f07-4d6364b430f7,0.02460556,1.008211261
485,10485,Boomerang Beach,1.9463,https://linked.data.gov.au/dataset/asgsed3/SAL/10485,423,995.5346436,7992,6,56,2102,5,49,995.5346436,995.5346436,0,1016.182982,7327,6,51,2063,5,48,1016.182982,1016.182982,0,1021.47502,10346,8,72,2841,7,66,1021.47502,1021.47502,0,1004.240863,5418,4,38,1444,4,34,1004.240863,1004.240863,0,,bc3da168-d28a-44ea-a445-86e79d375c23,0.000186425,0.08259626
486,10486,Boomey,92.54,https://linked.data.gov.au/dataset/asgsed3/SAL/10486,88,1072.146595,13046,10,91,3662,9,85,1072.146595,1072.146595,0,1092.045428,13600,10,95,3935,10,92,1092.045428,1092.045428,0,1080.405127,13115,10,91,3799,9,88,1080.405127,1080.405127,0,1066.35323,10826,8,75,2909,7,68,1066.35323,1066.35323,0,,cc26dae4-3c68-4f8e-9ff0-80b13c5dbf1d,0.008926694,0.676771245
487,10487,Boomi,1083.9459,https://linked.data.gov.au/dataset/asgsed3/SAL/10487,207,977.9537644,6505,5,45,1744,5,41,977.9537644,977.9537644,0,976.0903076,4158,3,29,1144,3,27,976.0903076,976.0903076,0,1016.45661,9964,7,69,2719,7,63,1016.45661,1016.45661,0,972.797358,3284,3,23,837,2,20,972.797358,972.797358,0,1,996638cb-2d76-4136-a2de-706ff4e83ee6,0.100085678,2.774862774
488,10488,Boomi Creek,80.6598,https://linked.data.gov.au/dataset/asgsed3/SAL/10488,14,973.9345186,6159,5,43,1637,4,38,973.9345186,973.9345186,0,1005.068458,6389,5,45,1758,5,41,1005.068458,1005.068458,0,951.5772739,5259,4,37,1325,4,31,951.5772739,951.5772739,0,1057.469661,10096,7,70,2709,7,63,1057.469661,1057.469661,0,1,216e5366-83bb-4029-a245-b56afb9e1bc5,0.007432687,0.4408353
489,10489,Boona Mount,394.6887,https://linked.data.gov.au/dataset/asgsed3/SAL/10489,46,1017.44218,9767,7,68,2619,7,61,1017.44218,1017.44218,0,1006.672257,6502,5,45,1798,5,42,1006.672257,1006.672257,0,1068.519552,12704,9,88,3677,9,86,1068.519552,1068.519552,0,1068.260071,10993,8,76,2962,7,69,1068.260071,1068.260071,0,1,82e9aeb3-c82a-4a97-a2e0-d5f714f8b504,0.037920622,0.991767536
490,10490,Boonal,266.2989,https://linked.data.gov.au/dataset/asgsed3/SAL/10490,51,1065.666698,12755,9,89,3568,9,83,1065.666698,1065.666698,0,1084.089701,13218,10,92,3779,9,88,1084.089701,1084.089701,0,1056.610507,12240,9,85,3501,9,82,1056.610507,1056.610507,0,1052.400699,9687,7,67,2600,7,61,1052.400699,1052.400699,0,1,1a3e3ce6-e251-4d3b-b94f-c5c26c3fdf47,0.024602285,0.868933662
491,10491,Boonoo Boonoo,269.1973,https://linked.data.gov.au/dataset/asgsed3/SAL/10491,19,945.4831331,3972,3,28,1030,3,24,945.4831331,945.4831331,0,961.6544758,3298,3,23,921,3,22,961.6544758,961.6544758,0,1001.192524,8863,7,62,2316,6,54,1001.192524,1001.192524,0,976.1392811,3481,3,25,901,3,21,976.1392811,976.1392811,0,1,e429663d-cb40-4120-a8ee-f3f4ed0c316f,0.024900848,1.00971595
492,10492,Boorabee Park,42.7548,https://linked.data.gov.au/dataset/asgsed3/SAL/10492,146,981.3386712,6758,5,47,1796,5,42,981.3386712,981.3386712,0,1029.023749,8477,6,59,2358,6,55,1029.023749,1029.023749,0,944.0668445,4700,4,33,1180,3,28,944.0668445,944.0668445,0,1040.931526,8681,7,61,2361,6,55,1040.931526,1040.931526,0,1,30c3ba9c-f0f4-438f-934d-50ac0c68213c,0.003947146,0.401316007
